track_id,track_name,track_artist,date,country,rank,danceability,energy,valence,tempo,loudness,acousticness,year,danceability_scaled,energy_scaled,valence_scaled,tempo_scaled,loudness_scaled,acousticness_scaled,cluster,distance_to_centroid
6fc44ZlFFyTxX5FTMrpcIB,Not the same,"DIMA SP, favor",2024-05-14,LV,16,0.734,0.679,0.292,133.953,-8.167,0.566,2024,0.742914979757085,0.6806624491276142,0.2967479674796748,0.5678212176832396,0.7786669949930229,0.5682715969247082,0,0.27110925355564486
7wue5LasVYYkXBBmblfavk,El Dalaa,Bahaa Sultan,2025-01-01,EG,47,0.833,0.708,0.826,110.004,-4.945,0.31,2025,0.8431174089068826,0.7098762944755611,0.8394308943089431,0.46630239882665625,0.8447837150127225,0.3112425941636043,1,0.34261323329908233
1DCCtsrcogyKEW567delN1,Aggelos Sti Gi,"Yolte, Lava, Paris Kalpos",2024-11-10,GR,26,0.724,0.7,0.226,103.074,-6.064,0.0837,2024,0.7327935222672065,0.7018173026554378,0.2296747967479675,0.4369264159181372,0.8218213904621192,0.08403297180095654,1,0.36811503747806873
3atnoHWVZSbgeBUMoKXCJG,SELVIYTYJÄ,Jami Faltin,2024-09-13,FI,50,0.784,0.725,0.884,118.014,-5.236,0.00834,2024,0.7935222672064778,0.7270016520933231,0.8983739837398375,0.5002564569936457,0.8388122794057292,0.008370059113156565,1,0.35659848387367077
6wB3XstB0c2yO2iMLKnCDg,Ko tā?,"Wiesulis, sangvn",2025-06-11,LV,22,0.779,0.452,0.597,138.964,-12.783,0.219,2025,0.7884615384615384,0.4519885562316155,0.6067073170731707,0.5890626390908281,0.683944841172125,0.2198768158383681,1,0.32097861137293976
5TnWKYsNNJ2DxF1jyPvARZ,Tyyris,AHTI,2024-09-29,FI,37,0.855,0.726,0.527,138.086,-4.431,0.269,2024,0.8653846153846154,0.7280090260708386,0.535569105691057,0.5853408334640345,0.8553311992120166,0.2700777929401462,1,0.2191597207455026
5mPn4ueXc1oua018FDvknz,Calculista,"MC Joãozinho VT, DJ JR No Beat",2025-01-17,BR,49,0.647,0.557,0.852,91.199,-5.96,0.308,2025,0.6548582995951417,0.5577628238707338,0.8658536585365855,0.386588782867825,0.823955511778708,0.3092345550795331,1,0.3940656421783847
2kAULbsYCKsN0VvbFtW7Mb,Amanxeba,"Kelvin Momo, Cnethemba Gonelo",2023-12-14,ZA,45,0.83,0.448,0.189,113.002,-21.251,0.0256,2023,0.840080971659919,0.4479590603215538,0.19207317073170735,0.4790107966274845,0.5101781170483459,0.02569943640869037,1,0.5907087982265121
6d5msgeW9rIr8GkUhh6SH6,Blokada,"Jala Brat, Buba Corelli",2025-06-11,AT,26,0.798,0.832,0.442,117.019,-6.355,0.101,2025,0.8076923076923077,0.8347906676874723,0.44918699186991873,0.4960386932138512,0.8158499548551259,0.10140250987817177,1,0.2107691459670573
1u8eHkUmd6VCRTVZQ7JKX1,Da Si Plashtal,Emanuela,2025-06-03,BG,46,0.661,0.838,0.942,101.016,-3.747,0.298,2025,0.6690283400809717,0.8408349115525648,0.9573170731707318,0.42820263917560736,0.8693671509480423,0.2991943596591775,1,0.4427224572678136
